Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PQ664462.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ664463.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PQ664464.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ664465.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ664466.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ664467.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ664468.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ664469.1,Influenza A virus,GenBank,GCA_046435685.1,SRR31167889,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493030,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-002-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ664470.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ664471.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PQ664472.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ664473.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ664474.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ664475.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ664476.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ664477.1,Influenza A virus,GenBank,GCA_046436335.1,SRR31167888,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-02,24-031352-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-21,SAMN44493031,PRJNA980729,"Influenza A virus (A/chicken/WA/24-031352-003-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ615327.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19531303,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),865,partial,H5N1,8,,USA: Washington,USA,WA,Homo sapiens,,2024-10-23,,PRJNA1095491,"Influenza A virus (A/Washington/254/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ615328.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19531303,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1733,partial,H5N1,4,,USA: Washington,USA,WA,Homo sapiens,,2024-10-23,,PRJNA1095491,"Influenza A virus (A/Washington/254/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ615329.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19531303,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1353,partial,H5N1,6,,USA: Washington,USA,WA,Homo sapiens,,2024-10-23,,PRJNA1095491,"Influenza A virus (A/Washington/254/2024(H5N1)) segment 6 neuraminidase (NA) gene, partial cds"
PQ615330.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19531303,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1002,partial,H5N1,7,,USA: Washington,USA,WA,Homo sapiens,,2024-10-23,,PRJNA1095491,"Influenza A virus (A/Washington/254/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ615359.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),865,partial,H5N1,8,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ615360.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1002,partial,H5N1,7,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ615361.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2316,partial,H5N1,2,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PQ615362.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2316,partial,H5N1,1,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ615363.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2208,partial,H5N1,3,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ615364.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1433,partial,H5N1,6,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ615365.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1540,partial,H5N1,5,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ615366.1,Influenza A virus,GenBank,GCA_046438285.1,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Lacek,K.A., Shu,B., Murray,T., Dang,T., Hiatt,B.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-19,EPI_ISL_19552697,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1751,partial,H5N1,4,,USA: Washington,USA,WA,Homo sapiens,,2024-10-29,,PRJNA1095491,"Influenza A virus (A/Washington/255/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ591832.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531301,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1381,partial,H5N1,6,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/252/2024(H5N1)) segment 6 neuraminidase (NA) gene, partial cds"
PQ591833.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531301,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1733,partial,H5N1,4,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/252/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ591834.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531302,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1733,partial,H5N1,4,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/253/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ591835.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531302,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1395,partial,H5N1,6,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/253/2024(H5N1)) segment 6 neuraminidase (NA) gene, partial cds"
PQ591836.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531300,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),865,partial,H5N1,8,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/251/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ591837.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531300,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1733,partial,H5N1,4,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/251/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ591838.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531300,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1002,partial,H5N1,7,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/251/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ591839.1,Influenza A virus,GenBank,,,"Kirby,M.K., Steel,J., Garten,R., Davis,T., Dugan,V., DaSilva,J., Liddell,J., Frederick,J.C., Di,H., Sheffield,S., Radford,K., De La Cruz,J., Keong,L., Jang,Y., Shu,B., Schatzman,S., Nguyen,H., Murray,T., Dang,T., Hiatt,B., Sutton,M., Grenza,L., Tsaknaridis,L., Makris,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-11-14,EPI_ISL_19531300,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1408,partial,H5N1,6,,USA: Oregon,USA,OR,Homo sapiens,,2024-10-24,,PRJNA1095491,"Influenza A virus (A/Washington/251/2024(H5N1)) segment 6 neuraminidase (NA) gene, partial cds"
